roads,record_kind,original_url,first_capture_timestamp,first_capture_date,last_capture_timestamp,capture_count,wayback_url,review_status
A8,construction_notice,https://www.autobahn.de/die-autobahn/verkehrsmeldungen/detail/a8-instandsetzung-eines-gelaenders-bei-dillingen-sued,20240618035041,2024-06-18,20240618035041,1,https://web.archive.org/web/20240618035041/https://www.autobahn.de/die-autobahn/verkehrsmeldungen/detail/a8-instandsetzung-eines-gelaenders-bei-dillingen-sued,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-erneuerung-zwischen-dreieck-saarlouis-und-saarlouis-steinrausch,20240710200650,2024-07-10,20240710200650,1,https://web.archive.org/web/20240710200650/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-erneuerung-zwischen-dreieck-saarlouis-und-saarlouis-steinrausch,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/sechsstreifiger-ausbau-der-a8-enztalquerung-auf-und-abfahrt-der-anschlussstelle-pforzheim-ost-in-fahrtrichtung-karlsruhe-ab-mittwoch-geoeffnet,20240711025946,2024-07-11,20240711025946,1,https://web.archive.org/web/20240711025946/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/sechsstreifiger-ausbau-der-a8-enztalquerung-auf-und-abfahrt-der-anschlussstelle-pforzheim-ost-in-fahrtrichtung-karlsruhe-ab-mittwoch-geoeffnet,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-bei-pforzheim-enztalquerung-vollsperrung-zwischen-den-anschlussstellen-pforzheim-sued-und-pforzheim-nord-fahrtrichtung-stuttgart-12-150724,20240711054522,2024-07-11,20240711054522,1,https://web.archive.org/web/20240711054522/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-bei-pforzheim-enztalquerung-vollsperrung-zwischen-den-anschlussstellen-pforzheim-sued-und-pforzheim-nord-fahrtrichtung-stuttgart-12-150724,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-vollsperrung-zwischen-den-anschlussstellen-pforzheim-nord-und-pforzheim-sued-fahrtrichtung-stuttgart-12-150724,20240711083312,2024-07-11,20240711083312,1,https://web.archive.org/web/20240711083312/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-vollsperrung-zwischen-den-anschlussstellen-pforzheim-nord-und-pforzheim-sued-fahrtrichtung-stuttgart-12-150724,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-grundhafte-erneuerung-zwischen-oberstadt-und-autobahnkreuz-neunkirchen-update-ersatzneubau-der-kasbruchtalbruecke-und-verlegung-der-l114-1,20240711092437,2024-07-11,20240711092437,1,https://web.archive.org/web/20240711092437/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-grundhafte-erneuerung-zwischen-oberstadt-und-autobahnkreuz-neunkirchen-update-ersatzneubau-der-kasbruchtalbruecke-und-verlegung-der-l114-1,candidate_url_filtered
A8,project,https://www.autobahn.de/planen-bauen/projekt/a8-enztalquerung,20240712082359,2024-07-12,20260123102040,3,https://web.archive.org/web/20240712082359/https://www.autobahn.de/planen-bauen/projekt/a8-enztalquerung,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/mehr-sicherheit-fuer-verkehrsteilnehmer-verzoegerungsstreifen-an-a8-anschlussstelle-heimsheim-wird-erweitert,20240726221722,2024-07-26,20240726221722,1,https://web.archive.org/web/20240726221722/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/mehr-sicherheit-fuer-verkehrsteilnehmer-verzoegerungsstreifen-an-a8-anschlussstelle-heimsheim-wird-erweitert,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-update-ersatzneubau-der-kasbruchtalbruecke-bei-neunkirchen-oberstadt-sperrung-der-abfahrt-in-richtung-pirmasens,20240809225555,2024-08-09,20240809225555,1,https://web.archive.org/web/20240809225555/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-update-ersatzneubau-der-kasbruchtalbruecke-bei-neunkirchen-oberstadt-sperrung-der-abfahrt-in-richtung-pirmasens,candidate_url_filtered
A8,construction_notice,https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-grundhafte-erneuerung-zwischen-neunkirchen-oberstadt-und-dem-autobahnkreuz-neunkirchen-update-am-wochenende-sperrung-der-richtungsfahrbahn-pirmasens,20240828105339,2024-08-28,20240828105339,1,https://web.archive.org/web/20240828105339/https://www.autobahn.de/betrieb-verkehr/baustellenmeldung/a8-grundhafte-erneuerung-zwischen-neunkirchen-oberstadt-und-dem-autobahnkreuz-neunkirchen-update-am-wochenende-sperrung-der-richtungsfahrbahn-pirmasens,candidate_url_filtered
