iter	Passed	Remaining
1133	38498	2240
1134	38534	2206
1135	38570	2172
1136	38603	2138
1137	38633	2104
1138	38659	2070
1139	38693	2036
1140	38723	2002
1141	38755	1968
1142	38788	1934
1143	38823	1900
1144	38855	1866
1145	38892	1832
1146	38929	1798
1147	38963	1764
1148	38997	1730
1149	39032	1697
1150	39063	1662
1151	39097	1629
1152	39130	1595
1153	39163	1561
1154	39195	1527
1155	39228	1493
1156	39260	1459
1157	39294	1425
1158	39320	1390
1159	39352	1356
1160	39378	1322
1161	39409	1288
1162	39443	1254
1163	39472	1220
1164	39503	1186
1165	39532	1152
1166	39564	1118
1167	39594	1084
1168	39629	1050
1169	39663	1017
1170	39693	983
1171	39724	949
1172	39759	915
1173	39792	881
1174	39824	847
1175	39858	813
1176	39886	779
1177	39917	745
1178	39944	711
1179	39984	677
1180	40020	643
1181	40057	610
1182	40093	576
1183	40128	542
1184	40160	508
1185	40195	474
1186	40230	440
1187	40263	406
1188	40299	372
1189	40330	338
1190	40367	305
1191	40394	271
1192	40431	237
1193	40456	203
1194	40489	169
1195	40522	135
1196	40548	101
1197	40577	67
1198	40615	33
1199	40649	0
